SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,POSITION,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,GAMES_PLAYED,GOALS,ASSISTS,POINTS,WINS,LOSSES,WL_RATIO,OT_WINS,OT_LOSSES,SO_WINS,SO_LOSSES,SO_WL_RATIO,GOALS_AGAINST,EVEN_STR_GOALS_AGAINST,PP_GOALS_AGAINST,SH_GOALS_AGAINST,SHOTS_AGAINST,EVEN_STR_SHOTS_AGAINST,PP_SHOTS_AGAINST,SH_SHOTS_AGAINST,OT_GOALS_AGAINST,SAVES,SAVESPG,EVEN_STR_SAVES,PP_SAVES,SH_SAVES,GAA,SAVE_PCT,BRICK_WALL,SHUTOUTS,GAMES_STARTED,CREDIT_FOR_GAME,SO_SAVE_PCT,SO_GA,MIN_PLAYED,PENALTIES,PIM,GOONY_BIG_PADS,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20260228,4,FLO,5521,Daniil Tarasov,G,ROSTER,26,"6'3""",154,Russia,Novokuznetsk,True,20,0,0,0,8,9,0.89,0,2,1,1,1.0,54,43,10,1,554,458,81,15,1,500,25.0,415,71,14,2.795,0.903,79.62222222,0,17,19,0.5,2,1159,0,0,0.0,0,80,0,0,0,69564,0,0,0,FLA,,
2025-2026,20260228,5,WSH,28493,Logan Thompson,G,ROSTER,29,"6'4""",190,Canada,"Calgary, AB",True,41,0,1,1,21,16,1.31,3,4,0,4,0.0,97,70,22,5,1120,905,180,35,0,1023,24.95,835,158,30,2.401,0.913,82.31111111,2,41,41,0.38,8,2424,0,0,0.0,0,162,0,0,0,145451,0,0,0,WSH,Metropolitan,Eastern
2025-2026,20260228,21,VAN,133827,Nikita Tolopilo,G,ROSTER,25,"6'6""",229,Belarus,Minsk,True,10,0,0,0,3,3,1.0,0,2,0,1,0.0,28,20,8,0,305,256,45,4,1,277,27.7,236,37,4,3.028,0.908,78.57777778,0,7,8,0.0,2,555,0,0,0.0,0,37,0,0,0,33290,0,0,0,VAN,Pacific,Western
2025-2026,20260228,13,OTT,5842,Linus Ullmark,G,ROSTER,32,"6'4""",215,Sweden,Lugnvik,False,31,0,0,0,16,8,2.0,2,6,3,0,inf,87,63,24,0,750,621,112,17,6,663,21.39,558,88,17,2.825,0.884,78.50555556,1,31,30,1.0,0,1848,1,2,1.25,0,122,0,0,0,110861,0,0,0,OTT,Atlantic,Eastern
2025-2026,20260228,30,UTA,14365,Vitek Vanecek,G,ROSTER,30,"6'1""",180,Czech Republic,Havlickuv Brod,False,14,0,1,1,3,9,0.33,0,2,0,0,,40,30,10,0,346,275,64,7,2,306,21.86,245,54,7,2.929,0.884,77.92777778,0,10,14,0.0,0,819,0,0,0.0,0,56,0,0,0,49162,0,0,0,UTA,Central,Western
2025-2026,20260228,1,TBL,5420,Andrei Vasilevskiy,G,ROSTER,31,"6'3""",216,Russia,Tyumen,False,38,0,1,1,28,7,4.0,5,3,3,1,3.0,80,61,17,2,994,791,169,34,2,915,24.08,731,152,32,2.106,0.921,84.35,2,38,38,0.6,4,2279,3,11,6.88,1,138,0,0,0,136750,0,0,0,TBL,Atlantic,Eastern
2025-2026,20260228,30,UTA,5741,Karel Vejmelka,G,ROSTER,29,"6'3""",203,Czech Republic,Trebic,True,46,0,2,2,28,15,1.87,7,2,0,0,,117,88,29,0,1178,934,220,24,2,1062,23.09,847,191,24,2.596,0.902,80.67777778,1,46,45,0.0,0,2704,1,2,1.25,0,170,0,0,0,162221,0,0,0,UTA,Central,Western
2025-2026,20260228,6,PHI,14444,Daniel Vladar,G,ROSTER,28,"6'5""",185,Czech Republic,Praha,False,34,0,0,0,17,9,1.89,2,6,1,1,1.0,80,57,20,3,846,698,122,26,5,766,22.53,641,102,23,2.461,0.905,81.57777778,0,33,32,0.67,1,1951,1,2,1.25,0,136,0,0,0,117035,0,0,0,PHI,Metropolitan,Eastern
2025-2026,20260228,25,MIN,37975,Jesper Wallstedt,G,ROSTER,23,"6'3""",214,Sweden,Västerås,True,25,0,1,1,14,6,2.33,2,4,4,2,2.0,69,55,13,1,764,639,111,14,2,696,27.84,585,98,13,2.854,0.911,79.69444444,4,23,24,0.71,5,1450,1,2,1.25,0,93,0,0,0,87022,0,0,0,MIN,Central,Western
2025-2026,20260228,22,COL,8952,Scott Wedgewood,G,ROSTER,33,"6'0""",194,Canada,"Etobicoke, ON",False,32,0,1,1,21,4,5.25,0,5,1,4,0.25,71,51,15,5,813,667,116,30,1,742,23.19,616,101,25,2.292,0.913,82.91666667,2,30,30,0.33,8,1859,1,2,1.25,0,111,0,0,0,111524,0,0,0,COL,Central,Western
2025-2026,20260228,23,CGY,28466,Dustin Wolf,G,ROSTER,24,"6'0""",155,USA,"Gilroy, CA",True,42,0,0,0,17,21,0.81,2,3,1,1,1.0,116,91,24,1,1134,916,178,40,2,1019,24.26,826,154,39,2.951,0.899,78.55555556,2,39,41,0.78,2,2358,1,2,1.25,0,153,0,0,0,141495,0,0,0,CGY,Pacific,Western
2025-2026,20260228,12,TOR,15693,Joseph Woll,G,ROSTER,27,"6'2""",198,USA,"St.Louis, MO",False,26,0,0,0,13,8,1.62,3,4,1,0,inf,72,60,9,3,789,677,96,16,4,718,27.62,618,87,13,2.921,0.91,79.27222222,2,26,25,1.0,0,1479,1,2,1.25,0,93,0,0,0,88729,0,0,0,TOR,Atlantic,Eastern
