RANK,PLAYER,NATION,POSITION,SQUAD,AGE,YEAR_BORN,MP,STARTS,PCT_STARTS,MINUTES,90_MINS,G,GPG,A,APG,PTS,PTSPG,G_PK,G_REG,PK,PK_ATT,CRDY,CRDR,TOT_CRDS,XG,XGPG,NPXG,XAG,NPXG_XAG,PRGC,PRGP,PRGR
8,Hannah Anderson,us USA,DF,Chicago Stars,24-103,2001,8,3,0.375,371,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.05,0.4,0,0.4,0,5,0
12,Mackenzie Arnold,au AUS,GK,Thorns,31-140,1994,6,6,1,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Ramona Bachmann,ch SUI,MF,Dash,34-202,1990,2,0,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
16,Dorian Bailey,us USA,MF,Bay FC,28-168,1997,11,7,0.636363636,630,7,0,0,0,0,0,0,0,0,0,0,2,0,2,0.4,0.036363636,0.4,1,1.4,4,28,18
17,Elizabeth Ball,us USA,DF,Current,29-268,1995,9,7,0.777777778,629,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.011111111,0.1,0,0.1,0,4,1
21,Catherine Barry,us USA,FW,Chicago Stars,23-211,2001,4,0,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.075,0.3,0,0.3,0,1,4
24,Maycee Bell,us USA,DF,Courage,24-300,2000,11,10,0.909090909,918,10.2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.090909091,1,0.2,1.1,2,22,3
25,Ann-Katrin Berger,de GER,GK,Gotham FC,34-279,1990,13,13,1,1167,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
27,Rebeca Bernal,mx MEX,"DF,MF",Spirit,27-318,1997,13,12,0.923076923,1077,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0.8,0.061538462,0.8,0.7,1.5,5,47,4
29,Croix Bethune,us USA,"MF,FW",Spirit,24-123,2001,8,5,0.625,439,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0625,0.5,0.8,1.3,13,18,23
31,Jenna Bike,us USA,"FW,MF",Chicago Stars,27-163,1998,4,3,0.75,222,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,1,3,16
32,Bella Bixby,us USA,GK,Thorns,29-237,1995,7,7,1,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Jordyn Bloomer,us USA,GK,Louisville,27-274,1997,7,7,1,630,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Tess Boade,us USA,MF,Bay FC,26-162,1999,7,2,0.285714286,223,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12
37,Jordan Brewster,us USA,DF,Bay FC,25-291,1999,1,1,1,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Jane Campbell,us USA,GK,Dash,30-148,1995,8,8,1,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Ryan Campbell,us USA,GK,Gotham FC,23-119,2002,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Gabrielle Carle,ca CAN,DF,Spirit,26-276,1998,13,13,1,1112,12.4,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0.038461538,0.5,0.9,1.5,19,30,31
45,Jess Carter,eng ENG,DF,Gotham FC,27-261,1997,10,10,1,775,8.6,0,0,0,0,0,0,0,0,0,0,1,1,2,0.1,0.01,0.1,0.1,0.2,5,31,7
46,Kyra Carusa,ie IRL,FW,Wave,29-243,1995,7,1,0.142857143,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.028571429,0.2,0.2,0.4,2,4,15
49,Grace Chanda,zm ZAM,MF,Pride,28-034,1997,3,0,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.033333333,0.1,0,0.1,0,2,1
50,Zara Chavosi,ca CAN,DF,Pride,22-221,2002,4,2,0.5,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0
53,Mikayla Cluff,us USA,MF,Royals,26-140,1999,7,1,0.142857143,155,1.7,0,0,0,0,0,0,0,0,0,0,1,0,1,0.1,0.014285714,0.1,0,0.1,0,7,5
