"MATCH_ID","Team","Opponent","Venue","xG","xG_Opp","Goals","OppGoals","Win_Flag","Draw_Flag","xG_Diff","Home_Flag","Pred_Win_Prob_basic","Pred_Win_Prob_home"
33,"Angel City","Courage","AWAY",0.4,2.3,2,1,1,0,-1.9,0,0.105530680960961,0.105530680960961
34,"Thorns","Dash","AWAY",3.6,0.4,4,1,1,0,3.2,0,0.933522479428067,0.933522479428067
35,"Spirit","Pride","AWAY",1.8,1.5,2,3,0,0,0.3,0,0.481119710288976,0.481119710288976
36,"Royals","Dash","AWAY",0.9,0.5,0,0,0,1,0.4,0,0.504538692941293,0.504538692941293
37,"Red Stars","Thorns","AWAY",1.6,1.7,0,2,0,0,-0.0999999999999999,0,0.3892641211852,0.3892641211852
38,"Courage","Reign","AWAY",2,1.3,1,0,1,0,0.7,0,0.574269512671443,0.574269512671443
39,"Angel City","Current","AWAY",1,3,1,3,0,0,-2,0,0.0970061616146299,0.0970061616146299
40,"Gotham FC","Louisville","AWAY",1.6,1.8,1,1,0,1,-0.2,0,0.367229952863915,0.367229952863915
41,"Wave","Bay FC","AWAY",1.4,1.8,2,1,1,0,-0.4,0,0.324856094452748,0.324856094452748
42,"Pride","Courage","AWAY",2.1,0.6,4,1,1,0,1.5,0,0.740581128544693,0.740581128544693
43,"Red Stars","Spirit","AWAY",0.9,1,2,4,0,0,-0.1,0,0.3892641211852,0.3892641211852
44,"Bay FC","Thorns","AWAY",1.9,1.4,2,3,0,0,0.5,0,0.527937776950742,0.527937776950742
45,"Reign","Wave","AWAY",1.7,1.6,2,1,1,0,0.0999999999999999,0,0.434630859384672,0.434630859384672
46,"Gotham FC","Courage","AWAY",1,0.8,1,0,1,0,0.2,0,0.457783392069402,0.457783392069402
47,"Royals","Angel City","AWAY",0.9,1.4,1,2,0,0,-0.5,0,0.304649114812119,0.304649114812119
48,"Dash","Current","AWAY",0.8,2.5,1,1,0,1,-1.7,0,0.124574713149773,0.124574713149773
49,"Pride","Louisville","AWAY",1.3,1,1,0,1,0,0.3,0,0.481119710288976,0.481119710288976
50,"Thorns","Spirit","AWAY",1.5,2.2,2,1,1,0,-0.7,0,0.26645557566802,0.26645557566802
