Season,Wk,Home_Team,xG_Home,Score,xG_Away,Away_Team,Attendance,Venue,Referee
2025,18,Current,,,,Courage,,CPKC Stadium,
2025,18,Reign,,,,Wave,,Lumen Field,
2025,18,Thorns,,,,Royals,,Providence Park,
2025,18,Pride,,,,Gotham FC,,Inter&Co Stadium,
2025,18,Spirit,,,,Chicago Stars,,Audi Field,
2025,18,Angel City,,,,Bay FC,,BMO Stadium,
2025,19,Courage,,,,Royals,,First Horizon Stadium at WakeMed Soccer ...,
2025,19,Louisville,,,,Thorns,,Lynn Family Stadium,
2025,19,Chicago Stars,,,,Pride,,,
2025,19,Spirit,,,,Reign,,Audi Field,
2025,19,Gotham FC,,,,Angel City,,Sports Illustrated Stadium,
2025,19,Bay FC,,,,Current,,PayPal Park,
2025,19,Wave,,,,Dash,,Snapdragon Stadium,
2025,20,Courage,,,,Angel City,,First Horizon Stadium at WakeMed Soccer ...,
2025,20,Pride,,,,Bay FC,,Inter&Co Stadium,
2025,20,Current,,,,Spirit,,CPKC Stadium,
2025,20,Wave,,,,Gotham FC,,Snapdragon Stadium,
2025,20,Chicago Stars,,,,Thorns,,SeatGeek Stadium,
2025,20,Royals,,,,Dash,,America First Field,
2025,20,Reign,,,,Louisville,,Lumen Field,
2025,21,Angel City,,,,Spirit,,BMO Stadium,
2025,21,Current,,,,Reign,,CPKC Stadium,
2025,21,Dash,,,,Chicago Stars,,Shell Energy Stadium,
2025,21,Pride,,,,Courage,,Inter&Co Stadium,
2025,21,Royals,,,,Louisville,,America First Field,
2025,21,Thorns,,,,Wave,,Providence Park,
2025,21,Bay FC,,,,Gotham FC,,PayPal Park,
2025,22,Current,,,,Chicago Stars,,,
2025,22,Louisville,,,,Angel City,,,
2025,22,Wave,,,,Pride,,,
2025,22,Gotham FC,,,,Thorns,,,
2025,22,Bay FC,,,,Royals,,,
2025,22,Spirit,,,,Dash,,,
2025,22,Reign,,,,Courage,,,
2025,23,Dash,,,,Pride,,,
2025,23,Courage,,,,Louisville,,,
2025,23,Spirit,,,,Wave,,,
2025,23,Chicago Stars,,,,Royals,,,
2025,23,Gotham FC,,,,Reign,,,
2025,23,Thorns,,,,Bay FC,,,
2025,23,Angel City,,,,Current,,,
2025,24,Louisville,,,,Chicago Stars,,,
2025,24,Current,,,,Gotham FC,,,
2025,24,Reign,,,,Bay FC,,,
2025,24,Courage,,,,Spirit,,,
2025,24,Pride,,,,Thorns,,,
2025,24,Angel City,,,,Dash,,,
2025,24,Royals,,,,Wave,,,
2025,25,Bay FC,,,,Courage,,,
2025,25,Spirit,,,,Pride,,,
2025,25,Dash,,,,Current,,,
2025,25,Reign,,,,Royals,,,
2025,25,Angel City,,,,Thorns,,,
2025,25,Gotham FC,,,,Louisville,,,
2025,25,Wave,,,,Chicago Stars,,,
2025,26,Thorns,,,,Dash,,,
2025,26,Royals,,,,Spirit,,,
2025,26,Chicago Stars,,,,Angel City,,,
2025,26,Current,,,,Wave,,,
2025,26,Pride,,,,Reign,,,
2025,26,Courage,,,,Gotham FC,,,
2025,26,Louisville,,,,Bay FC,,,
