Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,PTSPG,APG,GPG,EVG,PPG,SHG,GWG,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
582,Cody Ceci,32,LAK,D,82,1,8,9,-10,16,0.109756098,0.097560976,0.012195122,1,0,0,0,59,1.7,187,1440:23:00,17:34,0,0,,114,37,13,61
583,Brandon Duhaime,28,WSH,RW,82,4,5,9,-2,78,0.109756098,0.06097561,0.048780488,3,0,1,0,64,6.3,145,907:37:00,11:04,14,29,32.6,57,159,7,29
584,Anton Frondell,18,CHI,C,12,3,6,9,-1,4,0.75,0.5,0.25,3,0,0,0,36,8.3,70,212:19:00,17:42,32,74,30.2,13,8,2,11
585,Noah Gregor,27,FLA,C,37,4,5,9,-10,26,0.243243243,0.135135135,0.108108108,4,0,0,0,41,9.8,89,353:43:00,9:34,19,27,41.3,11,37,5,11
586,Samuel Helenius,23,LAK,C,53,5,4,9,-6,50,0.169811321,0.075471698,0.094339623,5,0,0,0,38,13.2,84,422:55:00,7:59,114,138,45.2,17,144,4,14
587,Alexander Holtz,24,VEG,RW,28,3,6,9,-1,10,0.321428571,0.214285714,0.107142857,3,0,0,0,30,10,71,321:28:00,11:29,3,11,21.4,11,29,1,20
588,Joel Kiviranta,29,COL,F,51,3,6,9,7,8,0.176470588,0.117647059,0.058823529,3,0,0,0,50,6,92,529:04:00,10:22,4,6,40,15,63,8,17
589,Jesperi Kotkaniemi,25,CAR,C,42,2,7,9,3,8,0.214285714,0.166666667,0.047619048,2,0,0,0,42,4.8,80,476:44:00,11:21,131,139,48.5,18,63,3,32
590,Ryan Lindgren,27,SEA,D,76,2,7,9,-2,60,0.118421053,0.092105263,0.026315789,2,0,0,1,48,4.2,156,1393:44:00,18:20,0,1,0,118,47,16,78
591,Ryan Lomberg,31,CGY,LW,57,4,5,9,-4,59,0.157894737,0.087719298,0.070175439,4,0,0,1,53,7.5,99,515:32:00,9:03,5,8,38.5,17,129,3,18
592,Ilya Lyubushkin,31,DAL,D,53,1,8,9,1,40,0.169811321,0.150943396,0.018867925,1,0,0,0,33,3,69,834:15:00,15:44,0,0,,90,68,9,46
593,Jeff Malott,29,LAK,F,58,3,6,9,-9,55,0.155172414,0.103448276,0.051724138,3,0,0,0,54,5.6,126,511:30:00,8:49,4,10,28.6,27,166,8,18
594,Nikita Nesterenko,24,ANA,C,29,1,8,9,-2,8,0.310344828,0.275862069,0.034482759,1,0,0,1,31,3.2,69,355:27:00,12:15,11,17,39.3,8,53,1,14
595,Zayne Parekh,19,CGY,D,37,4,5,9,-9,8,0.243243243,0.135135135,0.108108108,1,3,0,1,49,8.2,138,634:18:00,17:09,0,0,,30,15,9,67
596,Mike Reilly,32,CAR,D,42,1,8,9,11,26,0.214285714,0.19047619,0.023809524,0,0,1,0,63,1.6,152,628:33:00,14:58,0,0,,37,18,7,23
597,Brandon Saad,33,VEG,LW,49,3,6,9,-7,14,0.183673469,0.12244898,0.06122449,3,0,0,0,78,3.8,146,655:52:00,13:23,9,22,29,18,11,11,30
598,Frank Vatrano,31,ANA,LW,50,5,4,9,-15,40,0.18,0.08,0.1,5,0,0,1,79,6.3,148,591:07:00,11:49,6,8,42.9,28,84,6,17
599,Jeff Petry,38,2TM,D,67,0,9,9,-15,24,0.134328358,0.134328358,0,0,0,0,0,54,0,156,989:03:00,14:46,0,0,,65,66,9,52
599,Jeff Petry,38,FLA,D,58,0,8,8,-10,22,0.137931034,0.137931034,0,0,0,0,0,45,0,135,861:37:00,14:51,0,0,,57,59,4,48
599,Jeff Petry,38,MIN,D,9,0,1,1,-5,2,0.111111111,0.111111111,0,0,0,0,0,9,0,21,127:26:00,14:10,0,0,,8,7,5,4
600,Nick Bjugstad,33,2TM,C,61,6,3,9,-11,33,0.147540984,0.049180328,0.098360656,5,0,1,1,77,7.8,139,667:11:00,10:56,175,176,49.9,33,108,10,23
600,Nick Bjugstad,33,STL,C,35,6,1,7,-7,25,0.2,0.028571429,0.171428571,5,0,1,1,54,11.1,94,407:24:00,11:38,134,128,51.1,22,73,3,12
600,Nick Bjugstad,33,NJD,C,26,0,2,2,-4,8,0.076923077,0.076923077,0,0,0,0,0,23,0,45,259:47:00,10:00,41,48,46.1,11,35,7,11
601,Luke Glendening,36,2TM,C,70,2,7,9,-7,8,0.128571429,0.1,0.028571429,2,0,0,0,50,4,83,737:39:00,10:32,343,306,52.9,53,97,6,11
601,Luke Glendening,36,NJD,C,52,0,4,4,-11,4,0.076923077,0.076923077,0,0,0,0,0,30,0,52,514:52:00,9:54,264,247,51.7,45,66,6,8
601,Luke Glendening,36,PHI,C,18,2,3,5,4,4,0.277777778,0.166666667,0.111111111,2,0,0,0,20,10,31,222:47:00,12:23,79,59,57.2,8,31,0,3
602,Lian Bichsel,21,DAL,D,50,4,4,8,6,37,0.16,0.08,0.08,4,0,0,2,27,14.8,89,783:20:00,15:40,0,0,,42,139,14,38
603,Nick DeSimone,31,UTA,D,40,2,6,8,4,10,0.2,0.15,0.05,2,0,0,1,35,5.7,81,568:31:00,14:13,0,0,,31,19,5,32
604,Adam Erne,30,DAL,LW,45,6,2,8,1,19,0.177777778,0.044444444,0.133333333,6,0,0,0,43,14,87,450:18:00,10:00,2,8,20,20,141,9,17
