PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
Gabriel Szturc,Syracuse Crunch,47,4,7,11,0.149,0.085,0.23,0.426,-2,https://www.eliteprospects.com/player/426117/gabriel-szturc,2025-2026,ahl
Kirill Kirsanov,Ontario Reign,49,4,7,11,0.143,0.082,0.22,0.163,8,https://www.eliteprospects.com/player/542519/kirill-kirsanov,2025-2026,ahl
Alexander Suzdalev,Hershey Bears,23,3,8,11,0.348,0.13,0.48,0.087,0,https://www.eliteprospects.com/player/535701/alexander-suzdalev,2025-2026,ahl
Cal Foote,Chicago Wolves,27,3,8,11,0.296,0.111,0.41,0.593,9,https://www.eliteprospects.com/player/247895/cal-foote,2025-2026,ahl
Michal Kunc,Tucson Roadrunners,29,3,8,11,0.276,0.103,0.38,0.276,-6,https://www.eliteprospects.com/player/267809/michal-kunc,2025-2026,ahl
Matyas Melovsky,Utica Comets,33,3,8,11,0.242,0.091,0.33,0.697,-9,https://www.eliteprospects.com/player/527443/matyas-melovsky,2025-2026,ahl
Joey Willis,Milwaukee Admirals,34,3,8,11,0.235,0.088,0.32,0.294,-5,https://www.eliteprospects.com/player/637631/joey-willis,2025-2026,ahl
David Gucciardi,Hershey Bears,35,3,8,11,0.229,0.086,0.31,1.286,10,https://www.eliteprospects.com/player/504264/david-gucciardi,2025-2026,ahl
Jack Thompson,San Jose Barracuda,38,3,8,11,0.211,0.079,0.29,0.316,13,https://www.eliteprospects.com/player/201878/jack-thompson,2025-2026,ahl
Marek Alscher,Charlotte Checkers,38,3,8,11,0.211,0.079,0.29,0.526,10,https://www.eliteprospects.com/player/537884/marek-alscher,2025-2026,ahl
Declan Carlile,Syracuse Crunch,16,2,9,11,0.562,0.125,0.69,1.688,1,https://www.eliteprospects.com/player/276195/declan-carlile,2025-2026,ahl
Samuel Johannesson,Springfield Thunderbirds,26,2,9,11,0.346,0.077,0.42,0.308,-20,https://www.eliteprospects.com/player/342865/samuel-johannesson,2025-2026,ahl
Ryan McGregor,Tucson Roadrunners,35,2,9,11,0.257,0.057,0.31,0.4,1,https://www.eliteprospects.com/player/289231/ryan-mcgregor,2025-2026,ahl
Tanner Molendyk,Milwaukee Admirals,37,2,9,11,0.243,0.054,0.3,0.216,-6,https://www.eliteprospects.com/player/603586/tanner-molendyk,2025-2026,ahl
Caden Price,Coachella Valley Firebirds,42,2,9,11,0.214,0.048,0.26,0.357,3,https://www.eliteprospects.com/player/607323/caden-price,2025-2026,ahl
Jon McDonald,Hershey Bears,43,2,9,11,0.209,0.047,0.26,0.651,4,https://www.eliteprospects.com/player/344385/jon-mcdonald,2025-2026,ahl
Tyson Hinds,San Diego Gulls,45,2,9,11,0.2,0.044,0.24,0.378,4,https://www.eliteprospects.com/player/485317/tyson-hinds,2025-2026,ahl
Alex Kannok Leipert,Grand Rapids Griffins,48,1,10,11,0.208,0.021,0.23,0.917,11,https://www.eliteprospects.com/player/287497/alex-kannok-leipert,2025-2026,ahl
Riley Duran,Providence Bruins,50,1,10,11,0.2,0.02,0.22,0.36,9,https://www.eliteprospects.com/player/552533/riley-duran,2025-2026,ahl
Dennis Gilbert,totals,33,0,11,11,0.333,0,0.33,0.939,-5,https://www.eliteprospects.com/player/267396/dennis-gilbert,2025-2026,ahl
