,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
77,Telmo Arcanjo,MF,cv Cabo Verde,25-009,1.pt Vit. Guimarães,2001,2,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Álex Arce,FW,py Paraguay,31-014,1.ar Ind. Rivadavia,1995,2,0,53,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
79,Carlens Arcus,"MF,DF",ht Haiti,30-002,1.fr Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
80,Jhon Arias,MF,co Colombia,28-282,1.br Palmeiras,1997,3,3,240,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Santiago Arias,DF,co Colombia,34-168,1.ar Independiente,1992,1,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
82,Marko Arnautovi?,FW,at Austria,37-072,1.rs Red Star,1989,3,1,113,1.3,2,0,2,1,1,1,1,0,1.59,0,1.59,0.8,0.8,Matches
83,Benjamin Asare,GK,gh Ghana,33-352,1.gh Accra Hearts of Oak,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Emam Ashour,MF,eg Egypt,28-130,1.eg Al Ahly,1998,3,3,197,2.2,1,0,1,1,0,0,0,0,0.46,0,0.46,0.46,0.46,Matches
85,Rustam Ashurmatov,DF,uz Uzbekistan,29-358,1.ir Esteghlal,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Lawrence Ati-Zigi,GK,gh Ghana,29-213,1.ch St. Gallen,1996,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
87,Marwan Attia,MF,eg Egypt,27-322,1.eg Al Ahly,1998,3,2,225,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
88,Fredrik Aursnes,"MF,DF",no Norway,30-202,1.pt Benfica,1995,3,3,207,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Gabriel Ávalos,FW,py Paraguay,35-261,1.ar Independiente,1990,3,2,121,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
